income,age,credit_score,employment_years,approved
104664,46,519,4,0
98832,47,752,11,0
128761,43,731,6,0
82752,47,656,9,1
118116,53,479,9,0
130226,49,624,12,0
47663,41,635,1,0
69115,49,774,19,0
79275,52,679,0,0
90588,54,567,2,0
58304,57,342,11,0
128940,29,601,1,0
112658,52,389,7,0
134585,27,717,18,1
40358,21,800,17,1
31338,46,675,3,0
80692,53,693,4,1
55735,52,398,15,1
57841,56,395,4,1
56208,30,578,2,0
75069,34,361,19,1
20728,39,696,18,0
99459,29,744,8,1
56939,26,754,13,1
84895,36,805,14,0
106900,22,398,11,0
117203,38,783,15,1
21062,59,485,6,0
146174,22,462,10,0
26801,29,308,9,0
120843,34,552,5,0
41677,30,467,9,0
113105,44,493,4,0
146116,55,638,7,0
62348,18,641,19,1
77854,24,516,12,1
144707,23,551,18,0
137611,56,390,9,0
113714,56,425,2,0
24748,45,357,19,1
77799,58,300,2,0
100219,42,416,5,0
56395,49,472,14,0
40559,38,502,4,1
111362,36,831,17,1
37640,31,442,0,0
130133,20,770,10,0
119657,49,657,11,0
86203,25,421,3,0
122023,45,340,3,1
124346,34,500,0,0
77043,30,846,5,1
76178,22,749,9,0
78141,22,418,0,0
47712,35,523,14,0
148778,38,581,16,0
40384,51,404,2,0
20384,38,817,16,0
118142,22,736,4,1
30916,27,757,18,0
133748,31,756,13,1
65106,30,745,0,0
65543,49,333,7,0
34489,51,737,2,0
52049,29,353,11,0
145917,47,700,15,1
39758,40,506,4,0
97709,19,374,18,0
101317,51,605,1,0
26941,32,734,1,1
114456,55,780,14,0
90173,59,380,4,0
59811,27,483,16,0
137520,37,368,1,0
34388,19,504,10,0
32015,28,410,15,0
26090,33,819,3,1
145827,42,494,2,0
89724,49,360,18,0
77108,22,765,9,1
43061,38,812,4,1
36907,43,345,1,0
148077,43,372,14,0
63221,47,406,15,0
24432,43,556,7,0
99714,32,602,13,1
48699,40,377,1,0
125113,31,611,18,1
25122,40,662,14,1
126476,35,805,5,1
54674,32,491,4,1
110825,56,572,6,0
76793,42,444,12,1
26168,21,693,2,0
145036,35,410,3,0
46069,51,668,11,1
101449,58,817,19,1
68447,51,742,12,1
23812,50,736,5,0
91158,21,649,10,1
96125,48,436,2,0
120894,57,528,3,1
58110,23,621,19,0
48746,21,417,16,0
104471,55,740,1,0
30954,25,325,18,0
117579,22,625,3,1
78067,50,831,16,0
147534,18,389,13,1
62533,54,438,3,0
136714,20,309,4,0
29865,19,312,7,0
54387,18,618,4,1
39216,26,849,2,0
62078,22,617,11,1
147309,28,436,1,1
93698,52,812,7,0
63925,46,528,13,1
108861,52,464,4,0
43930,31,709,3,1
34060,59,388,17,1
79207,56,825,18,1
92101,50,322,14,0
39096,34,524,14,0
138721,31,403,18,0
87506,23,690,18,0
116809,32,588,19,0
29446,44,719,5,0
86656,54,710,0,0
87779,39,821,4,1
136553,50,417,5,0
43710,53,515,19,1
149038,46,560,14,1
121195,19,710,18,1
95683,53,582,4,1
97834,27,849,5,0
75318,43,601,10,0
95993,30,509,0,0
111751,29,655,15,0
84644,54,426,9,0
127099,48,677,8,1
106066,46,761,7,1
23797,28,706,0,0
42116,38,645,13,0
144085,40,300,18,1
83374,38,730,8,1
117416,27,735,8,1
45150,42,374,5,0
28070,35,774,1,0
56368,41,324,6,1
65765,41,460,16,0
114270,39,455,17,0
47696,24,383,8,0
122547,39,775,7,1
40806,18,440,18,0
53719,36,617,16,1
62460,47,443,7,0
38449,18,670,14,0
48865,45,412,17,0
58565,21,563,6,0
98623,27,757,18,1
140993,50,386,17,0
101244,25,612,2,0
50678,25,353,14,0
92258,50,563,1,0
54911,41,377,13,0
32175,21,799,4,0
141300,31,306,9,0
36032,40,384,18,1
56220,36,847,17,1
62880,22,822,9,1
119713,20,770,11,0
34596,54,555,8,0
82516,52,799,11,0
65648,27,457,13,0
106143,49,414,16,0
98344,57,536,6,0
75029,39,534,13,1
75961,46,408,1,0
94532,28,445,9,1
77384,55,333,16,0
117432,55,677,11,1
68756,59,641,5,1
24263,51,567,12,0
67924,24,700,13,0
106145,18,591,18,0
73276,38,595,10,1
92355,56,526,1,0
43150,41,705,4,0
41792,53,447,18,0
51987,34,806,12,1
86017,26,453,1,0
120424,26,595,16,0
54008,57,341,6,0
65186,54,407,11,0
105469,55,823,18,1
145995,34,629,16,1
40491,33,515,18,1
32254,38,380,4,0
125423,23,499,17,0
140075,32,788,12,1
142926,49,315,6,0
32182,43,385,6,0
57198,24,436,18,1
93543,40,776,17,1
74237,56,701,9,1
107312,31,458,2,1
116443,51,430,4,0
22983,43,482,11,0
76846,21,648,12,1
133824,33,792,9,0
100765,19,610,2,1
86081,47,550,12,0
115505,49,338,13,1
65084,46,617,11,1
53039,27,658,19,1
30816,47,302,12,0
44951,47,623,17,1
139076,42,731,0,0
110093,32,698,16,1
109431,21,439,4,0
65028,23,739,13,0
126506,30,525,6,1
82211,25,609,18,1
54157,27,406,1,0
136953,58,805,2,0
138533,22,353,14,0
137424,26,398,19,0
50448,59,718,17,1
46685,34,515,2,1
27906,55,419,14,0
79720,21,656,1,0
103560,20,840,8,1
123320,51,631,9,1
66542,57,836,4,1
70106,51,423,14,0
100199,22,475,17,0
126532,30,413,7,0
132863,46,414,2,1
31303,51,339,12,0
119616,23,515,18,1
39623,45,652,15,0
125228,42,469,3,0
89274,55,306,4,0
69708,48,834,9,1
22719,47,381,3,0
68845,30,823,6,1
107263,30,345,16,0
54832,57,522,1,1
57311,41,664,2,0
90981,36,713,6,1
107272,49,711,14,1
46660,46,577,3,1
103807,53,541,3,0
132831,34,823,16,1
29077,18,321,17,0
43821,46,526,19,0
47083,24,328,10,0
27813,32,758,1,0
33025,46,815,16,0
26540,58,338,14,0
121148,46,374,19,1
80545,31,383,10,0
72930,34,681,11,0
117883,46,320,14,1
147844,37,752,2,1
27424,55,826,1,0
68290,42,823,17,1
43019,33,838,7,0
59341,42,608,7,1
102970,24,686,11,1
25655,20,826,13,0
31536,37,820,5,1
94744,39,800,1,1
102503,28,363,12,0
122471,38,573,17,0
146446,48,465,10,0
61688,50,401,8,1
69930,39,387,8,0
59499,49,762,15,1
115317,45,541,0,0
26368,50,415,6,0
101061,56,389,13,0
101905,32,405,11,0
71047,28,616,2,1
21925,26,372,6,0
46015,58,669,11,0
122215,45,617,19,1
81550,24,758,19,0
86435,23,613,2,1
41288,59,313,10,0
100885,29,386,11,0
21560,36,655,12,1
48380,49,606,11,1
95717,35,848,8,1
134306,45,334,14,0
143782,29,458,19,0
98339,45,663,19,0
59063,49,719,1,1
97539,19,634,1,1
144677,56,670,11,1
68364,35,320,14,0
47490,43,819,3,0
98301,40,597,11,0
108397,19,674,4,1
64965,58,617,14,1
90135,56,383,1,0
65893,34,327,1,0
144132,22,748,7,0
81367,53,600,14,1
138154,27,569,15,0
91260,27,660,0,0
133939,25,812,19,0
105112,54,503,4,0
121872,45,666,14,1
20619,37,633,1,0
67614,54,319,0,0
21058,23,784,4,0
29200,31,311,9,1
137428,41,550,10,0
146945,42,605,6,1
76503,40,727,5,0
59062,33,674,7,1
127860,18,651,5,1
144398,39,474,1,0
67414,43,726,9,1
75409,35,444,7,0
116999,29,644,13,0
149824,18,446,15,0
39508,22,660,1,0
37087,23,460,8,0
131279,30,458,8,0
45923,51,680,5,1
87203,55,318,5,0
93297,30,578,18,0
123754,18,643,6,1
71924,32,364,11,0
123110,32,772,0,0
28927,52,401,10,0
96743,31,302,7,1
148449,23,520,11,0
101889,54,599,3,0
93770,40,625,13,1
46987,38,706,10,1
89967,32,350,14,1
98612,30,769,18,1
66413,21,672,19,1
56378,46,455,2,1
141999,59,719,17,1
64976,30,389,10,0
134014,27,338,12,0
23654,59,744,9,1
44611,37,751,6,1
127904,59,440,8,0
57384,32,309,9,1
91831,33,348,4,1
130641,41,830,3,0
51910,27,445,18,1
85481,50,738,17,1
84174,52,407,1,0
37014,38,731,4,0
112578,45,754,10,1
94696,31,376,1,1
132418,24,673,6,1
118032,28,579,13,0
58467,43,401,9,1
111302,53,652,3,1
36456,25,652,5,0
145926,21,816,11,1
24255,38,529,7,0
93794,20,641,5,1
145654,19,508,2,0
29686,47,415,7,0
64843,53,752,12,1
30526,33,745,15,1
49328,33,814,15,1
118540,40,647,18,0
49301,22,547,11,0
117912,47,448,19,0
141237,35,755,6,0
139968,33,759,5,0
39169,31,780,17,0
144481,58,640,1,0
67864,26,748,10,1
58067,40,495,17,0
110373,52,705,10,1
24437,54,543,9,1
117518,59,728,2,1
80631,59,761,5,1
114031,24,825,8,1
132020,52,429,2,0
92909,37,565,1,0
83740,50,463,13,0
111245,33,537,19,0
55298,58,324,12,0
137217,25,836,14,0
60108,29,427,12,0
53613,37,746,5,0
38268,19,359,18,0
59922,22,766,1,0
124792,19,681,10,1
66332,48,355,14,0
57846,36,398,8,1
114397,24,379,15,1
61568,21,400,6,1
61779,46,719,5,1
77009,54,782,6,1
46715,39,825,6,1
124444,39,809,1,0
109818,38,545,5,0
129204,27,770,6,1
116320,30,512,17,0
76532,35,472,3,0
129538,28,607,3,1
148563,35,526,8,0
46035,46,721,9,1
84041,30,404,16,1
53160,58,428,1,1
23631,46,396,9,0
40281,57,583,10,0
112961,25,499,16,0
93616,40,472,18,0
50111,18,386,4,1
90476,25,804,10,1
27788,41,782,16,0
36531,38,531,13,1
29866,32,510,6,0
84027,22,649,7,0
67241,55,667,16,1
81063,57,628,1,0
145873,20,681,3,1
62600,58,516,17,0
54964,53,787,1,0
119084,49,650,15,0
80703,51,822,9,1
145200,57,701,8,1
90119,31,423,17,0
97811,47,471,18,0
104080,38,421,6,0
57643,58,829,12,1
145588,25,601,7,1
102566,40,535,10,1
77941,39,534,12,0
33057,46,512,14,1
44858,48,762,18,1
40567,30,577,10,0
87260,50,814,18,1
71612,47,407,14,0
76447,54,410,7,0
142041,33,428,11,0
69666,18,403,2,1
128351,59,790,9,1
56735,56,365,8,1
57900,26,799,3,1
128777,43,613,11,1
83437,31,717,19,1
56751,48,369,18,0
102617,21,680,3,0
38313,41,526,4,0
123892,57,704,9,1
84429,21,487,12,1
79664,24,815,13,1
36087,54,635,19,1
56727,41,461,17,0
83646,36,618,13,1
98229,41,408,11,0
41817,55,416,3,1
30258,53,649,16,0
96256,35,412,14,0
36184,50,700,5,1
69811,44,698,5,1
104045,28,436,15,0
140312,27,349,2,0
132234,47,553,12,0
73072,36,725,2,1
90553,22,648,4,0
22096,38,373,4,1
134245,43,559,6,0
25105,52,612,3,0
145736,48,847,11,1
112573,39,519,6,0
54742,45,569,9,1
113583,48,504,5,1
61800,53,549,10,0
35892,21,818,5,0
144302,35,502,19,1
97454,24,725,11,0
131487,31,612,4,1
140852,35,430,4,1
46928,36,670,11,1
26588,58,460,17,0
44259,59,626,0,0
95415,51,327,10,0
75718,39,476,16,0
147941,23,816,1,0
131672,19,397,15,1
98258,56,385,11,1
77326,57,593,9,0
87263,49,690,19,1
83870,21,513,14,1
30983,38,378,19,1
20781,44,680,8,1
38489,45,325,16,0
120417,42,553,2,1
111179,50,526,5,0
68563,40,678,17,1
52658,22,606,10,0
91947,27,307,8,1
77828,38,371,8,0
60846,57,509,9,1
49139,23,567,1,0
57711,20,558,17,0
24135,55,519,0,0
109087,25,559,5,0
144661,36,843,8,0
83370,33,428,12,0
139796,38,568,1,1
53691,55,805,4,1
75426,50,495,19,0
44217,22,526,8,1
130053,23,510,11,0
50090,19,663,11,1
63732,41,525,2,1
32763,47,576,0,0
79042,51,340,18,0
49009,28,578,15,1
101557,34,588,19,0
149295,51,365,2,1
30487,45,346,6,0
124648,37,423,0,1
56598,40,490,2,1
118745,42,442,2,0
113812,31,759,16,1
118696,52,506,17,0
146688,23,550,1,1
92237,55,441,3,0
94567,52,841,13,1
28787,42,723,13,0
133253,40,382,13,0
104866,59,574,8,1
25075,24,362,8,0
33947,36,697,5,0
99676,53,764,8,0
26816,42,502,2,0
118234,31,521,8,1
52762,21,813,8,1
109709,39,426,15,0
94813,47,567,2,0
85087,38,624,15,0
64900,20,500,8,1
111170,34,781,0,1
109388,40,730,7,0
26581,29,473,14,0
128392,36,325,19,0
102325,57,832,18,1
116019,46,478,3,0
37862,45,839,3,0
50795,20,791,1,1
37569,44,660,0,1
62070,55,561,17,0
26716,29,561,7,0
105371,59,748,12,1
115074,57,441,2,1
76044,37,348,13,0
78557,25,703,0,0
116038,38,617,9,1
85333,58,643,4,1
24648,34,482,8,0
90028,28,793,18,1
103276,18,467,11,0
64363,25,755,12,0
92124,50,600,6,0
23321,22,819,13,0
72893,40,623,0,0
44995,35,784,18,1
30651,57,383,16,0
36715,32,340,6,0
123358,46,404,9,0
54610,28,565,13,0
90194,26,676,6,0
37154,37,753,1,0
50373,20,649,7,1
98928,58,567,2,0
54624,32,656,16,1
139006,42,578,5,1
30516,35,719,2,0
110486,26,329,11,0
120127,20,494,11,0
74312,40,659,10,0
67775,53,679,0,1
65734,51,739,4,1
88803,54,492,14,1
91442,46,501,17,1
136130,48,774,10,1
31120,55,624,7,0
97487,29,785,0,0
68515,22,675,2,1
90188,21,454,13,0
57226,44,533,18,0
38693,32,544,9,0
22169,54,469,4,0
47734,23,500,16,0
81516,34,408,15,0
130659,22,464,8,0
21932,51,664,18,0
132169,51,715,12,1
90393,38,682,11,1
94027,28,658,3,1
105376,45,579,2,0
78478,51,438,3,0
59420,34,398,17,1
94965,41,464,6,0
38951,45,816,16,0
128707,36,363,1,0
46421,29,545,10,0
36859,22,483,19,0
86093,29,828,18,1
123065,49,527,5,0
48064,41,706,14,1
82154,34,381,18,0
26142,21,664,2,1
145438,26,415,12,0
22384,50,446,5,0
88026,22,312,14,0
70876,48,413,10,0
138325,27,619,15,0
124641,58,846,14,1
97842,25,412,7,0
143421,24,364,3,0
29764,18,848,12,1
98471,22,487,8,0
126752,53,846,1,0
72327,40,564,1,0
68511,21,713,5,1
39810,25,487,12,0
30207,51,344,18,0
94085,33,365,7,0
79766,51,679,15,1
125659,19,749,12,0
30350,48,807,1,0
88487,40,326,6,0
48454,18,532,12,0
142258,36,612,16,1
27190,49,745,9,0
109571,25,459,17,0
51921,45,352,14,0
131645,21,504,7,0
94763,48,589,17,1
65409,28,740,16,1
136572,43,395,5,0
47990,41,689,4,0
143768,46,436,1,1
25571,53,440,18,0
126693,29,720,16,1
126966,43,474,10,0
49796,50,835,11,1
140592,21,730,8,1
36211,36,592,9,0
37508,56,839,8,0
138062,35,526,11,0
94619,24,312,17,0
44972,53,330,1,1
49320,26,465,10,0
147927,39,399,12,0
127692,51,562,3,0
43554,45,625,11,0
105140,45,787,0,1
80948,52,824,16,1
30293,27,343,14,0
130153,30,401,1,0
28016,53,697,9,0
44472,20,410,5,0
146731,41,840,10,1
143619,43,529,0,1
122518,45,764,7,0
22745,29,801,9,0
71374,47,720,5,1
40447,49,800,0,0
89561,24,311,15,1
133194,53,527,14,0
40936,49,630,7,1
47606,42,803,7,1
129781,21,494,8,0
112769,51,711,12,1
123547,40,517,3,0
41607,26,733,10,1
81215,45,577,8,0
58458,43,791,6,1
97240,43,324,9,0
109388,36,566,12,0
75751,57,367,14,0
138171,28,790,0,0
52430,55,515,14,0
100360,43,304,19,1
133000,28,547,0,0
47045,44,314,13,0
142245,55,745,17,1
51433,30,522,2,0
58405,46,819,11,1
113418,50,630,12,1
128042,48,791,5,1
132911,21,551,15,1
116063,43,745,11,1
61316,42,573,18,0
116566,55,453,5,1
86155,46,424,1,0
114826,33,749,1,0
28711,30,661,7,0
56191,53,794,0,0
41542,34,486,19,1
145681,39,392,11,0
104388,27,847,4,0
89119,45,554,10,0
148727,59,621,7,0
25722,39,454,2,1
103596,27,564,1,0
87712,49,626,16,1
29171,37,658,13,0
73521,46,390,17,1
72160,18,357,12,1
138387,40,565,10,0
106120,22,492,16,0
63361,58,555,10,1
66002,38,398,11,0
146834,36,408,6,0
62998,24,453,7,0
81844,31,431,9,1
70574,46,667,18,0
102534,45,793,3,1
102190,52,720,0,0
111502,41,582,7,0
50908,53,835,9,0
81250,51,732,19,1
63884,22,553,8,0
52252,23,656,9,0
108454,56,384,19,0
77727,39,337,18,0
65475,58,642,17,1
55517,54,836,15,1
85458,31,484,15,0
27214,53,827,7,0
77615,48,501,1,0
98077,26,779,9,1
47128,34,735,14,1
140442,38,401,16,0
123614,42,380,8,0
115319,19,403,14,1
146374,23,300,14,0
33689,56,808,16,0
33050,58,776,8,0
82021,23,639,19,1
21538,34,375,15,0
112268,18,773,14,0
70719,49,427,3,0
61328,36,342,19,0
38919,31,569,1,0
65814,21,614,18,1
76184,50,467,18,0
38624,22,582,15,0
119303,30,539,2,0
55531,33,757,19,1
36835,40,813,18,0
105988,25,818,13,0
126870,20,478,17,1
57327,25,423,0,0
107051,28,582,11,0
137637,50,816,13,1
124565,50,617,17,0
138248,36,496,1,0
104526,56,751,0,0
66163,24,514,13,0
146354,46,703,17,1
71913,58,691,9,1
30561,23,624,8,0
133745,43,767,8,1
138490,29,686,9,1
52088,52,507,1,1
85303,27,465,10,0
80710,44,794,5,0
101882,58,447,11,0
114803,52,666,1,0
39233,39,433,14,0
23849,26,780,15,0
65800,53,358,1,0
60387,18,453,9,0
35438,39,547,3,0
104381,42,583,0,0
122700,21,306,16,0
142019,36,719,8,1
22093,59,561,15,0
129200,27,669,17,1
70931,38,426,14,0
114851,46,678,8,1
110009,36,547,16,0
120728,58,469,17,1
82956,57,338,16,0
143030,49,735,14,0
123998,50,665,4,1
25039,51,595,10,0
139729,20,613,0,0
87087,35,603,9,1
46149,36,463,12,1
130253,20,793,9,1
109160,23,594,16,1
63803,50,848,8,1
32855,38,744,10,0
90843,55,719,17,0
58506,54,634,17,1
101982,39,811,10,1
27352,30,513,6,0
74122,41,506,0,0
55842,31,420,0,0
51781,38,320,17,0
84450,37,368,0,1
22187,44,611,9,0
148664,38,360,19,1
91832,49,688,3,1
124425,59,613,6,0
50816,38,436,5,0
79500,52,338,8,0
112420,59,386,16,1
149494,33,713,8,1
113422,54,671,14,0
140726,34,546,7,0
106465,54,317,0,0
127216,49,798,13,1
119977,53,533,10,0
120598,36,417,14,0
122811,41,662,8,1
105280,50,318,2,0
148935,59,748,17,1
25618,30,392,15,0
52972,46,594,16,0
140076,22,604,2,1
50009,56,492,16,0
32816,42,550,2,0
149564,49,679,15,1
122197,45,372,0,0
53272,39,635,8,1
45963,58,498,13,0
24434,36,728,14,0
24234,47,356,7,0
63442,19,833,5,0
112910,57,591,14,1
116371,35,632,12,1
22382,37,520,9,0
46946,36,302,13,1
65095,21,806,19,1
113305,48,395,10,0
29277,26,647,1,0
64535,32,347,3,1
84712,54,667,12,1
121158,49,613,19,1
64386,54,510,11,0
120922,24,391,8,0
143099,23,741,16,0
96502,48,789,4,1
46069,59,744,12,1
52821,33,819,7,1
58712,57,536,1,0
96509,29,599,10,0
41839,34,813,17,0
69522,43,617,16,0
132701,55,804,14,1
71877,20,521,0,0
67788,49,455,13,0
86458,53,736,14,1
63395,49,639,4,0
20203,50,839,7,0
23748,39,369,2,0
128036,23,516,13,0
64535,57,754,7,1
48901,35,557,7,0
70357,55,326,19,1
61258,48,390,9,0
57228,44,650,14,0
141084,30,758,18,1
99818,47,807,15,1
121154,39,465,13,1
126609,49,655,14,0
103178,52,814,15,1
118132,27,638,3,1
91196,36,749,9,1
59850,42,575,15,0
31094,41,839,4,0
136026,22,412,9,1
109765,42,313,10,1
114090,35,454,17,1
67574,28,576,11,0
56182,58,810,8,1
104425,39,363,6,1
59104,32,705,17,1
149744,46,729,13,1
64435,50,674,10,1
106795,57,417,19,0
132805,20,455,12,0
136545,54,737,10,0
145803,57,449,19,1
148028,57,639,19,1
66223,24,344,14,1
143823,44,480,8,0
114386,37,533,16,0
72446,25,506,13,1
34715,56,608,11,0
138544,59,649,18,1
54314,51,370,11,0
132417,37,349,5,1
131497,49,784,19,1
77124,57,595,11,1
120246,57,409,7,0
119165,27,338,16,1
